smiles,Activity
COc1ccc2c(c1)C(N)=C(c1ccccc1OC)C2=O,0
Brc1ccc(Nc2nc3ccccc3nc2Nc2ccc(Br)cc2)cc1,1
O=C1C(Cl)C2(CC(/C=C/c3cccs3)=NN2c2cccc(S(=O)(=O)O)c2)N1c1nc2ccccc2s1,0
CC(C)C1=C2CCC3(C)C(CCC4C5C6OCC5(CCC6(C)C)CCC43C)C2(C)CC1,0
CCCC[Sn]1(CCCC)OC(=O)C/N=C/c2ccccc2O1,1
CN(C)CCNc1ccc2ncnc3c2c1C(=O)c1ccccc1-3,1
O=C(Oc1ccc(Cl)cc1Cl)c1ccccc1Nc1ccnc(C(F)(F)F)c1,1
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,1
COc1ccc(-n2cnc3c(N)nc(N)nc32)cc1,0
O=C1/C(=C/c2ccco2)N=C2Sc3c([nH]cnc3=O)N12,0
CC1=C2C[C@H]3[C@@H](CC[C@@H]4CC(NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,0
C=C=C(C)[Si](C)(C)C,0
CC[C@@]1(O)C(=O)OCc2c1c(Cl)c1n(c2=O)Cc2cc3ccccc3nc2-1,1
CCN(CC)CCCNc1ncc(C)c2c1c1ccc3c(O)cccc3c1n2C,1
CC1=C(C(=O)CC(=O)C(=O)Nc2ccccc2C)Sc2ccccc2N1,0
O=C(NN1C(=O)C(Cl)C1c1cccc(Cl)c1)c1ccccc1O,0
O=C1c2cc3ncsc3cc2C(=O)c2c(O)ccc(O)c21,0
CC(=O)OC12c3ccccc3C(c3ccccc31)C1C(=O)N(c3ccccc3O)C(=O)C12,0
[BH3-][P+](CC[P+]1([BH3-])[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1C)(c1ccccc1)c1ccccc1OC,0
CC(=O)O[Ga](Cl)OC(C)=O,0
CC(C)CCSC1=CC(=O)c2ccccc2C1=O,0
CC1C2(C)OC(=N)C(C#N)(C(c3ccccc3)O2)C1(C#N)C#N,0
CCOC(=O)c1ccc(NC(=O)Nc2nccs2)cc1,1
COc1ccc(CC2NCCc3c2[nH]c2ccccc32)cc1,0
COc1cc(NCCC2CCCCN2)c2ncccc2c1OC,1
O=C1C2=C(O)CC[C@@H]3[C@H]4CCC(O)=C5C(=O)c6c(O)cccc6C(=C54)O[C@]23C(=O)c2cccc(O)c21,0
COc1ccc(C2CC(c3cccc(OC)c3)=NN2C(=O)c2cc(OC)c(OC)c(OC)c2)cc1,1
CC(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)C(=O)NCC(=O)O,0
Cc1sc(C(=O)c2cncnc2N[C@@H]2C[C@H](COS(N)(=O)=O)[C@@H](O)C2)cc1[C@@H]1NCCc2ccc(Cl)cc21,0
C=CCc1cc(C(Cc2ccccc2)NC(C)C)cc(OCc2ccccc2)c1OCc1ccccc1,0
CCCCCCCCCCCCCCCCCC[n+]1ccc2c(C)c3c(c(C)c2c1)c1cc(O)ccc1n3CC,1
CCN(CC)c1ccc2nc3ccc(N=Nc4c(O)ccc5ccccc45)cc3[n+](-c3ccccc3)c2c1,0
COc1ccc([Sn](c2ccc(OC)cc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0
CCOC(=O)/C(C#N)=C/c1ccc(SCc2ccco2)c([N+](=O)[O-])c1,0
COC(=O)C(Cc1ccccc1)NC(=O)NC(=O)NC(=O)CI,0
N=C(N)NC1C(O)C(O)C(O)C(NC(=N)N)C1O,0
Cc1ccnc(NC(=S)Nc2ccc([N+](=O)[O-])cc2)c1,0
N#Cc1nc(-c2ccccc2)oc1S(=O)(=O)N1CCCCC1,0
NCc1nnn(Cc2ccccc2)c1N,0
CC(C)/C(Cl)=N/OC(=O)Nc1ccc(F)c([N+](=O)[O-])c1,1
CCCCCCCC(=O)N/N=C/c1ccc(Sc2nccn2C)c([N+](=O)[O-])c1,0
Cc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,0
Nc1nc(NNc2ccc(Cl)c(Cl)c2)cc(=O)[nH]1,0
CCOC(=O)CCC(NC(=O)c1ccc(Oc2nc3c(N)cc(C(F)(F)F)cc3nc2-c2ccccc2)cc1)C(=O)OCC,0
OC1CCN(CCCOc2c3ccc(Cl)cc3nc3c2oc2ccccc23)CC1,1
COC(=O)C1C(OS(=O)(=O)O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,0
O=C(CCn1[nH]c(=O)c(Cl)c(Cl)c1=O)NO,0
O=[N+]([O-])c1cc(Cc2cc([N+](=O)[O-])c3cccnc3c2O)c(O)c2ncccc12,1
Cc1ccccc1NC(=O)NC(=N)Nc1nc2ccccc2s1,1
N=C(N)N/N=C(/c1nc2ccc([N+](=O)[O-])cc2nc1O)C(O)c1ccco1,0
NC(=S)N1N=C(c2ccc3c(c2)CCC3)CC1c1ccccc1,0
O=S(=O)(Cc1ccccc1)SCc1ccccc1,0
NC1=C(N2CCCCC2)C(=O)NC2=N/C(=C\c3ccco3)C(=O)N21,0
COC(=O)CCC/C=C\C[C@H]1C=CC(=O)/C1=C/C[C@@H](O)C/C=C\CC(F)(F)F,1
O=C(O)c1ccccc1N=Nc1c(O)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc12.[Na+],0
COC(=O)Cc1cccc2c1CCC2=O,0
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)s1,0
Cc1cc2nc(CC(C(F)(F)F)C(F)(F)F)oc2cc1C,1
O=c1[nH][nH]c(=O)n1Cc1ccccc1,0
Clc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c(Cl)c1,1
Nc1nc(SCc2ccccc2Cl)c2[nH]cnc2n1,0
Cc1c2cnccc2c(C)c2c1c1cc(O)ccc1n2C(C)C,1
CSC(C1c2ccccc2N(c2ccc(C)cc2)c2[nH]c(=O)n(C)c(=O)c21)S(=O)(=O)c1ccc(C)cc1,0
COc1cccc(N(CN2CC=CC2=O)C(C)=O)c1,0
COc1ccc2c(c1)/C(=C(/Nc1ccc(N(C)C(=O)CN3CCN(C)CC3)cc1)c1ccccc1)C(=O)N2,1
CON(C)C(=O)C(C)NC(=O)OCc1ccccc1,0
O=c1ccc(N=Nc2ccccc2)ccc1Cl,0
O=C(O)CNCc1c2ccccc2nc2ccccc12,0
O=C(CCCSc1nc(-c2ccccc2)cc(-c2ccc(Cl)cc2)n1)NO,1
N#C/C(=C\c1ccc(Br)cc1)n1nnc2cccc(F)c21,1
CNC(=O)N1CN(c2ccccc2)C2(CCN(CCCC3(c4ccc(F)cc4)OCCO3)CC2)C1=O,0
Cc1nc2sc(C(=O)Nc3ccccc3)c(N)c2cc1C(=O)/C=C/c1ccccc1,1
Cc1cc2c3c([n+](C)c4ccc(F)cc4c3c1)-c1cc(F)ccc1N2C,0
COC(=O)N1C[C@@]2(C=CC3(CC2)OCCO3)c2ccccc21,0
CCOC(=O)N1CCN([N+]([O-])=NOc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,1
O=C(Nc1nc2ncn(CCI)c2c(=O)[nH]1)c1ccccc1,0
C#CCOC(=O)C(N)CSSCC(N)C(=O)O,0
O=S(=O)(O)c1cccc2ccc(O)c(N=Nc3ccc(S(=O)(=O)c4ccc(N=Nc5c(O)ccc6cccc(S(=O)(=O)O)c56)cc4)cc3)c12,0
Cc1c(/C=N/NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C,0
COc1cccc2cc(C(=O)O)c(=O)oc12,0
O=S1(=O)C=C(c2ccccc2)C(c2ccccc2)=C1,1
CN(C(=O)C12C3(C(=O)O)C4C5(C(=O)O)C3C1(C(=O)O)C5C42C(=O)O)C(C)(C)C,0
